21701.0,131,5,8,94,5,8,94,653.0
21701.0,131,5,8,28,5,8,28,16.0
21701.0,131,5,8,120,5,8,120,559.0
21701.0,131,5,8,137,5,8,137,1457.0
21701.0,131,5,8,70,5,8,70,241.0
21701.0,131,5,8,104,5,8,104,10.0
21701.0,131,5,8,154,5,8,154,363.0
21701.0,131,5,8,169,5,8,169,259.0
21701.0,131,5,10,108,5,10,108,239.0
21701.0,131,5,10,9,5,10,9,1478.0
21701.0,131,5,59,66,5,59,66,396.0
21701.0,131,5,59,151,5,59,151,678.0
21701.0,131,5,69,145,5,69,145,44.0
21701.0,131,5,69,15,5,69,15,114.0
21701.0,131,5,69,69,5,69,69,10631.0
21701.0,131,5,69,106,5,69,106,34.0
21701.0,132,5,69,69,5,69,69,31.0
21701.0,131,5,77,77,5,77,77,599.0
21701.0,131,5,142,142,5,142,142,388.0
21701.0,131,30,30,30,30,30,30,2565.0
21701.0,132,30,30,30,30,30,30,0.0
21701.0,131,50,32,41,50,32,41,31.0
21701.0,131,50,32,124,50,32,124,35.0
21701.0,131,50,32,86,50,32,86,12.0
21701.0,131,50,32,33,50,32,33,12.0
21701.0,131,50,32,134,50,32,134,11.0
21701.0,131,50,32,60,50,32,60,51.0
21701.0,131,50,32,40,50,32,40,14.0
21701.0,131,50,32,12,50,32,12,29.0
21701.0,131,50,32,80,50,32,80,85.0
21701.0,131,50,32,78,50,32,78,23.0
21701.0,131,50,32,153,50,32,153,14.0
21701.0,131,50,32,102,50,32,102,26.0
21701.0,131,50,32,127,50,32,127,381.0
21701.0,131,50,32,1,50,32,1,38.0
21701.0,131,50,32,141,50,32,141,706.0
21701.0,131,50,32,126,50,32,126,153.0
21701.0,131,50,32,48,50,32,48,111.0
21701.0,131,50,32,52,50,32,52,70.0
21701.0,131,50,32,121,50,32,121,714.0
21701.0,131,50,32,115,50,32,115,125.0
21701.0,131,50,32,170,50,32,170,12.0
21701.0,131,50,32,133,50,32,133,26.0
21701.0,131,50,32,26,50,32,26,14.0
21701.0,131,50,32,79,50,32,79,12.0
21701.0,131,50,32,110,50,32,110,62.0
21701.0,131,50,32,163,50,32,163,289.0
