0,482
1,1216
2,1047
3,1215
4,521
5,1216
6,292
7,521
8,292
8,917
9,521
10,1210
11,521
12,521
13,479
13,521
14,1332
15,521
16,1216
17,292
17,1211
18,1215
19,1216
20,1216
21,292
21,917
22,521
23,1210
24,521
25,521
26,1216
27,1216
28,1216
29,1210
30,521
31,521
32,521
33,1047
34,1210
35,521
36,1215
36,1216
36,1332
37,1210
38,521
39,1210
40,292
40,1209
40,1212
40,1216
41,521
42,1216
43,1212
43,1215
43,1216
44,1212
44,1216
45,1212
45,1216
46,1216
47,1211
48,1215
49,521
50,1216
51,1212
52,1216
53,1215
54,292
54,1216
55,1212
56,1216
57,1215
58,521
59,1215
60,521
61,1047
62,1210
63,521
64,292
64,1216
64,1330
65,521
65,1216
66,521
67,521
68,521
69,521
70,1210
71,521
72,1332
73,521
73,917
74,521
75,521
75,1215
76,292
77,521
77,917
78,521
78,917
78,1216
79,521
79,917
80,521
81,1209
82,521
83,1210
84,1210
85,1215
86,292
86,521
86,1216
87,1215
88,1215
89,1216
90,521
91,521
92,521
93,1211
94,521
95,1211
96,1212
97,521
98,521
98,917
99,1215
100,1211
100,1212
100,1215
100,1216
101,1216
102,521
103,1215
103,1216
104,521
105,521
105,1216
106,1216
107,292
107,1215
107,1216
108,1216
109,521
110,1216
111,1216
112,1215
113,1216
114,1216
115,292
116,521
117,521
118,1211
119,1210
120,1210
121,521
122,521
123,521
124,1211
124,1215
125,521
126,521
127,521
128,1330
129,1212
130,1216
131,1047
132,292
132,521
132,917
133,1211
133,1215
134,1215
135,1332
136,1216
137,1332
138,1209
139,1215
140,521
141,1215
141,1216
142,1216
143,1215
144,917
145,521
146,521
147,1332
148,1211
148,1215
148,1216
149,521
150,479
151,1216
152,521
153,1216
154,1215
155,1216
156,521
157,1210
158,1216
159,1215
160,1332
161,521
161,1215
162,521
163,917
164,1332
165,1035
165,1332
166,1047
166,1216
167,1215
167,1216
168,1211
169,1215
170,1216
171,1332
172,1332
173,521
174,1215
175,292
176,1215
176,1216
176,1332
177,521
178,521
179,292
179,1216
180,1212
181,1216
182,1211
182,1216
183,1216
184,1216
185,1210
186,1216
187,1216
188,1215
189,521
190,521
191,1209
192,1209
193,1216
194,1216
195,1216
196,1216
197,1216
198,479
198,1216
199,521
200,1210
201,521
202,1210
203,1215
203,1330
204,1216
204,1332
205,521
206,521
207,1216
208,1330
209,1216
210,521
210,1215
210,1216
211,1216
212,521
213,1211
214,521
214,917
215,1216
216,1215
217,1216
218,521
219,1210
220,1216
221,1211
222,1212
223,1212
224,1216
225,1215
226,1216
227,1215
227,1216
227,1330
228,521
229,1211
229,1215
230,1212
231,1330
232,1212
233,1215
234,521
235,1211
236,1206
237,1215
238,1211
239,1215
240,917
240,1216
240,1330
241,1211
241,1215
241,1216
241,1333
242,1215
243,521
244,1215
245,917
246,521
247,521
247,917
248,521
249,521
250,917
251,1216
252,521
253,1216
254,1215
255,1215
256,1216
257,1211
258,917
259,1215
260,521
261,521
262,521
263,521
264,479
265,479
266,1211
267,292
267,1216
268,1211
269,1216
269,1330
270,1215
271,521
272,1047
273,1330
274,292
275,1210
276,1216
277,1332
278,1215
279,521
279,1216
280,521
280,1216
281,1215
282,1215
283,521
284,1216
285,917
286,1332
287,1216
288,1216
289,1210
290,521
291,1216
293,1211
294,482
295,1216
296,1216
297,1212
298,1216
299,521
300,521
301,1215
301,1330
302,1212
303,1212
303,1216
304,1212
305,1215
306,1211
307,521
308,292
309,1216
310,1215
311,521
311,1216
312,917
312,1216
313,292
313,1216
314,1215
315,521
315,1216
316,521
317,1216
318,521
319,521
320,1216
321,1216
322,1216
323,479
323,1216
324,1330
325,1215
326,1216
327,1216
328,1216
329,521
330,521
330,1216
331,1215
332,1216
333,1216
334,1216
335,1216
336,1216
337,521
338,521
339,521
340,1215
341,292
342,521
343,479
344,482
345,1215
346,1215
347,1216
348,1211
349,292
350,1332
351,1216
352,521
353,1216
354,521
355,1215
356,917
357,1216
358,1211
359,1211
360,1216
361,1209
362,1215
362,1216
363,292
364,1216
365,1216
366,521
366,917
367,521
367,1216
368,917
369,1211
370,1215
371,1216
372,1330
373,1216
374,1215
375,1215
376,1035
377,482
378,1216
379,1216
380,1210
381,1215
382,521
383,1330
384,521
384,1216
