"AZ"
"CA"
"CA1"
"CO"
"FL"
"GA"
"GA1"
"IL"
"KS"
"MAPSGFK.VANAMERICA1"
"MD"
"NC"
"NJ"
"NM"
"NY"
"OR"
"TX"
"TX1"
"US-04"
"US-06"
"US-08"
"US-12"
"US-13"
"US-17"
"US-20"
"US-24"
"US-34"
"US-35"
"US-36"
"US-37"
"US-41"
"US-48"
"US-49"
"US-53"
"UT"
"WA"
