-100,10,9,25,3.8333333333333335,10,10,6.0,17.0,3.8333333333333335,6.0,.
-100,16,9,31,3.8666666666666667,16,16,15.0,40.0,3.8666666666666667,15.0,3.0
-100,11,9,29,3.9166666666666665,11,11,24.0,67.0,3.9166666666666665,24.0,4.0
-100,7,9,23,4.0,7,7,11.0,28.0,4.0,11.0,4.0
-100,8,9,24,4.04,8,8,25.0,69.0,4.04,25.0,4.0
-100,13,9,27,4.1,13,13,10.0,32.0,4.1,10.0,3.0
-100,5,9,22,4.1875,5,5,16.0,47.0,4.1875,16.0,.
-100,35,9,33,4.285714285714286,35,35,7.0,23.0,4.285714285714286,7.0,.
-100,1,9,19,4.428571428571429,1,1,21.0,66.0,4.428571428571429,21.0,3.5
-100,4,9,21,4.5,4,4,8.0,17.0,4.5,8.0,.
-100,12,9,26,4.5,12,12,12.0,35.0,4.5,12.0,2.0
-100,0,9,18,4.538461538461538,0,0,12.0,40.0,4.538461538461538,12.0,2.5
-100,3,9,20,4.571428571428571,3,3,20.0,53.0,4.571428571428571,20.0,.
-100,34,9,32,4.571428571428571,34,34,6.0,21.0,4.571428571428571,6.0,.
-100,15,9,30,4.6,15,15,5.0,20.0,4.6,5.0,.
-100,14,9,28,4.714285714285714,14,14,14.0,34.0,4.714285714285714,14.0,.
2,1,9,19,4.45,1,1,20.0,62.0,4.45,20.0,3.5
2,3,9,20,4.571428571428571,3,3,20.0,53.0,4.571428571428571,20.0,.
2,0,9,18,4.636363636363637,0,0,10.0,34.0,4.636363636363637,10.0,2.5
2,4,9,21,4.666666666666667,4,4,3.0,6.0,4.666666666666667,3.0,.
2,12,9,26,4.666666666666667,12,12,3.0,13.0,4.666666666666667,3.0,2.0
2,8,9,24,4.75,8,8,4.0,7.0,4.75,4.0,.
2,13,9,27,5.0,13,13,1.0,4.0,5.0,1.0,.
2,14,9,28,5.0,14,14,1.0,3.0,5.0,1.0,.
6,11,9,29,3.9166666666666665,11,11,24.0,67.0,3.9166666666666665,24.0,4.0
6,8,9,24,3.933333333333333,8,8,15.0,45.0,3.933333333333333,15.0,.
6,5,9,22,4.142857142857143,5,5,14.0,41.0,4.142857142857143,14.0,.
6,4,9,21,4.4,4,4,5.0,11.0,4.4,5.0,.
17,7,9,23,3.8,7,7,5.0,10.0,3.8,5.0,.
17,8,9,24,3.8333333333333335,8,8,6.0,17.0,3.8333333333333335,6.0,4.0
17,10,9,25,3.8333333333333335,10,10,6.0,17.0,3.8333333333333335,6.0,.
17,16,9,31,3.8666666666666667,16,16,15.0,40.0,3.8666666666666667,15.0,3.0
17,0,9,18,4.0,0,0,2.0,6.0,4.0,2.0,.
17,1,9,19,4.0,1,1,1.0,4.0,4.0,1.0,.
17,13,9,27,4.0,13,13,9.0,28.0,4.0,9.0,3.0
17,5,9,22,4.5,5,5,2.0,6.0,4.5,2.0,.
