-100,-100,29,0.6038011695906432,413.0
-100,-100,10,0.29678362573099415,203.0
-100,-100,25,0.07748538011695906,53.0
-100,-100,18,0.021929824561403508,15.0
-1,-100,29,~S,~S
-1,-100,10,~S,~S
4,-100,29,~S,~S
4,-100,10,~S,~S
5,-100,29,~S,~S
5,-100,25,~S,~S
6,-100,29,0.6089743589743589,95.0
6,-100,10,0.32051282051282054,50.0
6,-100,25,0.0641025641025641,10.0
6,-100,18,0.00641025641025641,1.0
7,-100,29,~S,~S
8,-100,29,0.5714285714285714,16.0
8,-100,10,0.21428571428571427,6.0
8,-100,25,0.17857142857142858,5.0
8,-100,18,0.03571428571428571,1.0
9,-100,10,0.5,10.0
9,-100,29,0.45,9.0
9,-100,25,0.05,1.0
11,-100,29,~S,~S
12,-100,29,0.5869565217391305,81.0
12,-100,10,0.2898550724637681,40.0
12,-100,25,0.10144927536231885,14.0
12,-100,18,0.021739130434782608,3.0
13,-100,29,0.6153846153846154,16.0
13,-100,10,0.23076923076923078,6.0
13,-100,25,0.15384615384615385,4.0
14,-100,29,0.6875,11.0
14,-100,10,0.25,4.0
14,-100,25,0.0625,1.0
15,-100,29,0.5714285714285714,20.0
15,-100,10,0.2857142857142857,10.0
15,-100,25,0.08571428571428572,3.0
15,-100,18,0.05714285714285714,2.0
16,-100,29,0.5555555555555556,15.0
16,-100,10,0.4074074074074074,11.0
16,-100,25,0.037037037037037035,1.0
17,-100,29,~S,~S
19,-100,29,0.52,13.0
19,-100,10,0.36,9.0
19,-100,25,0.08,2.0
19,-100,18,0.04,1.0
20,-100,29,~S,~S
21,-100,29,0.7894736842105263,15.0
21,-100,10,0.15789473684210525,3.0
21,-100,18,0.05263157894736842,1.0
22,-100,29,~S,~S
22,-100,10,~S,~S
22,-100,25,~S,~S
23,-100,29,~S,~S
23,-100,10,~S,~S
24,-100,29,0.6153846153846154,72.0
24,-100,10,0.2905982905982906,34.0
24,-100,25,0.05982905982905983,7.0
24,-100,18,0.03418803418803419,4.0
26,-100,29,0.5769230769230769,15.0
26,-100,10,0.2692307692307692,7.0
26,-100,25,0.07692307692307693,2.0
26,-100,18,0.07692307692307693,2.0
27,-100,29,~S,~S
27,-100,10,~S,~S
27,-100,25,~S,~S
28,-100,29,~S,~S
28,-100,10,~S,~S
30,-100,29,~S,~S
30,-100,10,~S,~S
6,0,29,0.5555555555555556,15.0
6,0,10,0.4444444444444444,12.0
8,0,29,~S,~S
9,0,29,~S,~S
9,0,10,~S,~S
12,0,29,0.6923076923076923,18.0
12,0,10,0.23076923076923078,6.0
12,0,25,0.07692307692307693,2.0
13,0,29,~S,~S
13,0,10,~S,~S
16,0,29,~S,~S
16,0,10,~S,~S
17,0,29,~S,~S
19,0,10,~S,~S
20,0,29,~S,~S
21,0,29,~S,~S
23,0,29,~S,~S
23,0,10,~S,~S
24,0,29,0.6721311475409836,41.0
24,0,10,0.2459016393442623,15.0
24,0,18,0.04918032786885246,3.0
24,0,25,0.03278688524590164,2.0
26,0,29,~S,~S
28,0,10,~S,~S
-100,0,29,0.6666666666666666,94.0
-100,0,10,0.28368794326241137,40.0
-100,0,25,0.028368794326241134,4.0
-100,0,18,0.02127659574468085,3.0
-1,1,29,~S,~S
-1,1,10,~S,~S
4,1,29,~S,~S
4,1,10,~S,~S
5,1,29,~S,~S
5,1,25,~S,~S
6,1,29,0.5,18.0
6,1,10,0.4166666666666667,15.0
6,1,25,0.08333333333333333,3.0
8,1,10,0.5,5.0
8,1,29,0.3,3.0
8,1,25,0.2,2.0
9,1,29,~S,~S
9,1,10,~S,~S
9,1,25,~S,~S
11,1,29,~S,~S
12,1,29,0.5238095238095238,22.0
12,1,10,0.2857142857142857,12.0
12,1,25,0.16666666666666666,7.0
12,1,18,0.023809523809523808,1.0
13,1,29,~S,~S
13,1,10,~S,~S
13,1,25,~S,~S
14,1,29,~S,~S
14,1,25,~S,~S
15,1,29,~S,~S
15,1,10,~S,~S
15,1,25,~S,~S
15,1,18,~S,~S
16,1,10,~S,~S
19,1,29,~S,~S
19,1,10,~S,~S
20,1,29,~S,~S
21,1,29,~S,~S
21,1,10,~S,~S
21,1,18,~S,~S
22,1,25,~S,~S
23,1,29,~S,~S
24,1,29,0.48,12.0
24,1,10,0.4,10.0
24,1,25,0.08,2.0
24,1,18,0.04,1.0
26,1,29,~S,~S
26,1,10,~S,~S
27,1,29,~S,~S
30,1,29,~S,~S
-100,1,29,0.5380116959064327,92.0
-100,1,10,0.3216374269005848,55.0
-100,1,25,0.11695906432748537,20.0
-100,1,18,0.023391812865497075,4.0
-1,2,10,~S,~S
4,2,10,~S,~S
6,2,29,0.68,34.0
6,2,10,0.22,11.0
6,2,25,0.08,4.0
6,2,18,0.02,1.0
7,2,29,~S,~S
8,2,29,0.75,9.0
8,2,10,0.08333333333333333,1.0
8,2,25,0.08333333333333333,1.0
8,2,18,0.08333333333333333,1.0
9,2,29,~S,~S
9,2,10,~S,~S
12,2,29,0.5714285714285714,28.0
12,2,10,0.32653061224489793,16.0
12,2,25,0.08163265306122448,4.0
12,2,18,0.02040816326530612,1.0
13,2,29,~S,~S
13,2,10,~S,~S
14,2,29,~S,~S
14,2,10,~S,~S
15,2,29,0.42857142857142855,6.0
15,2,10,0.35714285714285715,5.0
15,2,25,0.14285714285714285,2.0
15,2,18,0.07142857142857142,1.0
16,2,29,~S,~S
16,2,10,~S,~S
16,2,25,~S,~S
17,2,29,~S,~S
19,2,29,~S,~S
19,2,10,~S,~S
19,2,25,~S,~S
20,2,29,~S,~S
21,2,29,~S,~S
22,2,29,~S,~S
24,2,29,0.7058823529411765,12.0
24,2,10,0.17647058823529413,3.0
24,2,25,0.11764705882352941,2.0
26,2,29,~S,~S
26,2,10,~S,~S
26,2,25,~S,~S
27,2,10,~S,~S
28,2,29,~S,~S
30,2,29,~S,~S
30,2,10,~S,~S
-100,2,29,0.6010362694300518,116.0
-100,2,10,0.29533678756476683,57.0
-100,2,25,0.08290155440414508,16.0
-100,2,18,0.02072538860103627,4.0
-1,3,29,~S,~S
4,3,10,~S,~S
5,3,29,~S,~S
6,3,29,0.6857142857142857,24.0
6,3,10,0.2571428571428571,9.0
6,3,25,0.05714285714285714,2.0
7,3,29,~S,~S
8,3,29,~S,~S
8,3,25,~S,~S
9,3,29,~S,~S
9,3,10,~S,~S
11,3,29,~S,~S
12,3,29,0.7222222222222222,13.0
12,3,10,0.16666666666666666,3.0
12,3,25,0.05555555555555555,1.0
12,3,18,0.05555555555555555,1.0
13,3,29,0.5833333333333334,7.0
13,3,25,0.25,3.0
13,3,10,0.16666666666666666,2.0
14,3,29,~S,~S
14,3,10,~S,~S
15,3,29,0.6666666666666666,8.0
15,3,10,0.3333333333333333,4.0
16,3,29,0.7857142857142857,11.0
16,3,10,0.21428571428571427,3.0
19,3,29,~S,~S
19,3,10,~S,~S
19,3,25,~S,~S
19,3,18,~S,~S
21,3,29,~S,~S
21,3,10,~S,~S
22,3,29,~S,~S
22,3,10,~S,~S
24,3,29,0.5,6.0
24,3,10,0.5,6.0
26,3,29,~S,~S
26,3,10,~S,~S
26,3,25,~S,~S
26,3,18,~S,~S
27,3,29,~S,~S
27,3,25,~S,~S
28,3,29,~S,~S
28,3,10,~S,~S
-100,3,29,0.64375,103.0
-100,3,10,0.275,44.0
-100,3,25,0.0625,10.0
-100,3,18,0.01875,3.0
