12,3,10,0.2857142857142857,6.0
12,3,25,0.09523809523809523,2.0
13,3,29,0.6363636363636364,7.0
13,3,10,0.18181818181818182,2.0
13,3,25,0.18181818181818182,2.0
14,3,29,~S,~S
14,3,10,~S,~S
14,3,25,~S,~S
15,3,29,0.75,9.0
15,3,10,0.25,3.0
16,3,29,0.7142857142857143,10.0
16,3,10,0.2857142857142857,4.0
19,3,29,~S,~S
19,3,10,~S,~S
19,3,25,~S,~S
21,3,29,~S,~S
21,3,10,~S,~S
21,3,25,~S,~S
22,3,29,~S,~S
24,3,29,0.75,9.0
24,3,10,0.25,3.0
26,3,29,~S,~S
26,3,10,~S,~S
26,3,25,~S,~S
27,3,29,~S,~S
27,3,10,~S,~S
28,3,29,~S,~S
28,3,10,~S,~S
-100,3,29,0.6727272727272727,111.0
-100,3,10,0.24848484848484848,41.0
-100,3,25,0.07878787878787878,13.0
