-100,2,0.2825322391559203
-100,1,0.25205158264947247
-100,0,0.23563892145369286
-100,3,0.22977725674091443
11,2,0.3439153439153439
11,1,0.2962962962962963
11,0,0.2275132275132275
11,3,0.13227513227513227
6,2,0.32142857142857145
6,1,0.25
6,3,0.23809523809523808
6,0,0.19047619047619047
-1,1,~S
-1,2,~S
-1,3,~S
22,0,0.5637583892617449
22,1,0.20134228187919462
22,2,0.12751677852348994
22,3,0.10738255033557047
14,2,0.3902439024390244
14,3,0.3170731707317073
14,1,0.2926829268292683
8,2,0.4473684210526316
8,1,0.34210526315789475
8,3,0.13157894736842105
8,0,0.07894736842105263
15,3,0.5
15,2,0.3235294117647059
15,1,0.11764705882352941
15,0,0.058823529411764705
23,3,0.3125
23,0,0.25
23,1,0.21875
23,2,0.21875
17,1,0.2903225806451613
17,2,0.2903225806451613
17,3,0.2903225806451613
17,0,0.12903225806451613
12,3,0.5172413793103449
12,0,0.1724137931034483
12,1,0.1724137931034483
12,2,0.13793103448275862
19,1,0.39285714285714285
19,2,0.21428571428571427
19,3,0.21428571428571427
19,0,0.17857142857142858
9,3,0.4090909090909091
9,2,0.36363636363636365
9,1,0.13636363636363635
9,0,0.09090909090909091
13,3,0.5555555555555556
13,1,0.2777777777777778
13,2,0.16666666666666666
24,3,0.5
24,2,0.3333333333333333
24,1,0.16666666666666666
4,1,~S
4,2,~S
4,3,~S
20,1,~S
20,2,~S
20,3,~S
5,0,~S
5,1,~S
5,3,~S
16,0,~S
16,2,~S
16,3,~S
18,0,~S
18,1,~S
18,2,~S
26,0,~S
26,1,~S
26,2,~S
21,0,~S
21,1,~S
21,2,~S
25,0,~S
25,2,~S
25,3,~S
7,1,~S
7,2,~S
7,3,~S
10,1,~S
10,2,~S
10,3,~S
