"<100"
"100-999"
"1000-9999"
"10000+"
"Agriculture, forestry, fishing, and hunting"
"Arts, entertainment, and recreation"
"Banking and financial services"
"Construction"
"Education"
"Energy"
"Food service and hospitality"
"Government and public administration"
"Health care"
"Information (e.g., publishing, media, telecommunications)"
"Insurance"
"Manufacturing"
"Mining"
"Other"
"Real estate"
"Religious, charitable, or social services"
"Retail"
"Services (other)"
"Services (professional)"
"Technology"
"Transportation and warehousing"
"Utilities"
"Wholesale trade"
