-100,-100,29,0.4618834080717489,309.0
-100,-100,10,0.3721973094170404,249.0
-100,-100,25,0.13901345291479822,93.0
-100,-100,18,0.026905829596412557,18.0
-1,-100,10,~S,~S
-1,-100,25,~S,~S
4,-100,29,~S,~S
4,-100,10,~S,~S
4,-100,25,~S,~S
5,-100,29,~S,~S
5,-100,10,~S,~S
6,-100,29,0.4430379746835443,70.0
6,-100,10,0.41139240506329117,65.0
6,-100,25,0.13291139240506328,21.0
6,-100,18,0.012658227848101266,2.0
7,-100,29,~S,~S
7,-100,10,~S,~S
8,-100,29,0.5185185185185185,14.0
8,-100,10,0.3333333333333333,9.0
8,-100,25,0.1111111111111111,3.0
8,-100,18,0.037037037037037035,1.0
9,-100,10,0.6111111111111112,11.0
9,-100,29,0.3333333333333333,6.0
9,-100,25,0.05555555555555555,1.0
11,-100,29,~S,~S
12,-100,29,0.4666666666666667,63.0
12,-100,10,0.3333333333333333,45.0
12,-100,25,0.15555555555555556,21.0
12,-100,18,0.044444444444444446,6.0
13,-100,29,0.48,12.0
13,-100,10,0.28,7.0
13,-100,25,0.2,5.0
13,-100,18,0.04,1.0
14,-100,29,0.5,8.0
14,-100,10,0.375,6.0
14,-100,25,0.125,2.0
15,-100,10,0.42424242424242425,14.0
15,-100,29,0.36363636363636365,12.0
15,-100,25,0.15151515151515152,5.0
15,-100,18,0.06060606060606061,2.0
16,-100,10,0.43478260869565216,10.0
16,-100,29,0.391304347826087,9.0
16,-100,25,0.17391304347826086,4.0
17,-100,29,~S,~S
19,-100,29,0.5454545454545454,12.0
19,-100,10,0.2727272727272727,6.0
19,-100,25,0.18181818181818182,4.0
20,-100,29,~S,~S
21,-100,29,0.55,11.0
21,-100,10,0.35,7.0
21,-100,25,0.1,2.0
22,-100,29,~S,~S
22,-100,10,~S,~S
22,-100,25,~S,~S
23,-100,29,~S,~S
23,-100,10,~S,~S
23,-100,25,~S,~S
24,-100,29,0.47413793103448276,55.0
24,-100,10,0.3620689655172414,42.0
24,-100,25,0.11206896551724138,13.0
24,-100,18,0.05172413793103448,6.0
26,-100,29,0.4583333333333333,11.0
26,-100,25,0.2916666666666667,7.0
26,-100,10,0.25,6.0
27,-100,29,~S,~S
27,-100,10,~S,~S
27,-100,25,~S,~S
28,-100,29,~S,~S
28,-100,10,~S,~S
30,-100,29,~S,~S
30,-100,10,~S,~S
6,0,10,0.5,14.0
6,0,29,0.35714285714285715,10.0
6,0,25,0.14285714285714285,4.0
8,0,29,~S,~S
8,0,10,~S,~S
9,0,29,~S,~S
9,0,10,~S,~S
12,0,29,0.48148148148148145,13.0
12,0,10,0.37037037037037035,10.0
12,0,25,0.07407407407407407,2.0
12,0,18,0.07407407407407407,2.0
13,0,29,~S,~S
13,0,10,~S,~S
13,0,25,~S,~S
16,0,10,~S,~S
17,0,29,~S,~S
19,0,29,~S,~S
20,0,29,~S,~S
21,0,29,~S,~S
23,0,29,~S,~S
23,0,25,~S,~S
24,0,29,0.55,33.0
24,0,10,0.35,21.0
24,0,25,0.05,3.0
24,0,18,0.05,3.0
26,0,29,~S,~S
26,0,10,~S,~S
26,0,25,~S,~S
28,0,10,~S,~S
-100,0,29,0.5035971223021583,70.0
-100,0,10,0.37410071942446044,52.0
-100,0,25,0.08633093525179857,12.0
-100,0,18,0.03597122302158273,5.0
-1,1,10,~S,~S
4,1,29,~S,~S
4,1,10,~S,~S
5,1,10,~S,~S
6,1,10,0.3783783783783784,14.0
6,1,29,0.35135135135135137,13.0
6,1,25,0.2702702702702703,10.0
8,1,29,~S,~S
8,1,10,~S,~S
8,1,25,~S,~S
9,1,29,~S,~S
9,1,10,~S,~S
9,1,25,~S,~S
11,1,29,~S,~S
12,1,29,0.43902439024390244,18.0
12,1,10,0.2682926829268293,11.0
12,1,25,0.21951219512195122,9.0
12,1,18,0.07317073170731707,3.0
13,1,29,~S,~S
13,1,10,~S,~S
13,1,25,~S,~S
14,1,29,~S,~S
14,1,10,~S,~S
14,1,25,~S,~S
15,1,29,~S,~S
15,1,10,~S,~S
15,1,25,~S,~S
15,1,18,~S,~S
16,1,10,~S,~S
16,1,25,~S,~S
19,1,29,~S,~S
19,1,10,~S,~S
20,1,29,~S,~S
21,1,29,~S,~S
21,1,10,~S,~S
21,1,25,~S,~S
22,1,25,~S,~S
23,1,10,~S,~S
24,1,29,0.36,9.0
24,1,10,0.36,9.0
24,1,25,0.2,5.0
24,1,18,0.08,2.0
26,1,29,~S,~S
26,1,10,~S,~S
27,1,29,~S,~S
30,1,29,~S,~S
-100,1,29,0.42168674698795183,70.0
-100,1,10,0.3433734939759036,57.0
-100,1,25,0.19879518072289157,33.0
-100,1,18,0.03614457831325301,6.0
-1,2,10,~S,~S
4,2,10,~S,~S
6,2,29,0.46938775510204084,23.0
6,2,10,0.40816326530612246,20.0
6,2,25,0.08163265306122448,4.0
6,2,18,0.04081632653061224,2.0
7,2,10,~S,~S
8,2,29,0.6666666666666666,8.0
8,2,25,0.16666666666666666,2.0
8,2,10,0.08333333333333333,1.0
8,2,18,0.08333333333333333,1.0
9,2,29,~S,~S
9,2,10,~S,~S
12,2,29,0.5217391304347826,24.0
12,2,10,0.32608695652173914,15.0
12,2,25,0.13043478260869565,6.0
12,2,18,0.021739130434782608,1.0
13,2,29,~S,~S
13,2,10,~S,~S
14,2,29,~S,~S
14,2,10,~S,~S
15,2,10,0.5,7.0
15,2,25,0.2857142857142857,4.0
15,2,29,0.14285714285714285,2.0
15,2,18,0.07142857142857142,1.0
16,2,29,~S,~S
16,2,10,~S,~S
16,2,25,~S,~S
17,2,29,~S,~S
19,2,29,~S,~S
19,2,10,~S,~S
19,2,25,~S,~S
20,2,29,~S,~S
21,2,29,~S,~S
21,2,10,~S,~S
22,2,29,~S,~S
22,2,10,~S,~S
24,2,29,0.5294117647058824,9.0
24,2,10,0.29411764705882354,5.0
24,2,25,0.11764705882352941,2.0
24,2,18,0.058823529411764705,1.0
26,2,29,~S,~S
26,2,10,~S,~S
26,2,25,~S,~S
27,2,10,~S,~S
28,2,29,~S,~S
30,2,29,~S,~S
30,2,10,~S,~S
-100,2,29,0.4627659574468085,87.0
-100,2,10,0.3829787234042553,72.0
-100,2,25,0.12234042553191489,23.0
-100,2,18,0.031914893617021274,6.0
-1,3,10,~S,~S
4,3,10,~S,~S
4,3,25,~S,~S
5,3,29,~S,~S
6,3,29,0.5833333333333334,21.0
6,3,10,0.3611111111111111,13.0
6,3,25,0.05555555555555555,2.0
7,3,29,~S,~S
8,3,29,~S,~S
8,3,10,~S,~S
9,3,29,~S,~S
9,3,10,~S,~S
11,3,29,~S,~S
12,3,29,0.4444444444444444,8.0
12,3,10,0.3333333333333333,6.0
12,3,25,0.2222222222222222,4.0
13,3,29,0.5454545454545454,6.0
13,3,10,0.18181818181818182,2.0
13,3,25,0.18181818181818182,2.0
13,3,18,0.09090909090909091,1.0
14,3,29,~S,~S
14,3,10,~S,~S
14,3,25,~S,~S
15,3,10,0.5454545454545454,6.0
15,3,29,0.45454545454545453,5.0
16,3,29,0.5833333333333334,7.0
16,3,10,0.3333333333333333,4.0
16,3,25,0.08333333333333333,1.0
19,3,29,~S,~S
19,3,10,~S,~S
19,3,25,~S,~S
21,3,29,~S,~S
21,3,10,~S,~S
21,3,25,~S,~S
22,3,29,~S,~S
22,3,10,~S,~S
24,3,10,0.5833333333333334,7.0
24,3,29,0.25,3.0
24,3,25,0.16666666666666666,2.0
26,3,29,~S,~S
26,3,10,~S,~S
26,3,25,~S,~S
27,3,29,~S,~S
27,3,25,~S,~S
28,3,10,~S,~S
-100,3,29,0.47770700636942676,75.0
-100,3,10,0.3821656050955414,60.0
-100,3,25,0.1337579617834395,21.0
-100,3,18,0.006369426751592357,1.0
