-1,.,.,-1,-1,-1,-1,-1,2.96140333E8
32,38.8924912860884,-76.9428875886278,32,32,45,0,22,1.2446125E7
25,38.8767906676865,-77.0129112688988,25,25,45,1,23,4514600.0
28,38.9178750629361,-77.0379731038701,28,28,45,2,20,4299685.0
40,38.9221671897141,-77.0428671820356,40,40,-1,3,43,4548976.0
31,38.9150850473364,-76.9736423276014,31,31,45,4,18,1.492159E7
34,38.8533635431363,-76.9695236682727,34,34,45,5,19,4135491.0
33,38.8723715422552,-76.9687109642132,33,33,46,6,37,8192650.0
36,38.8941459413706,-77.0165405371914,36,36,-1,7,42,4564701.0
24,38.922189194083,-77.0165626212118,24,24,-1,8,41,3422563.0
35,38.8697760666731,-76.9596878493997,35,35,-1,9,16,7247542.0
27,38.93485362329,-77.0748403666259,27,27,45,10,21,464240.0
26,38.883375432073,-76.9992429762178,26,26,46,11,38,7839131.0
29,38.9631332486268,-77.0274132795308,29,29,45,12,17,1531060.0
15,38.8995555884436,-77.0208356718819,15,15,-1,13,44,6487504.0
30,38.932679088944,-77.025636486243,30,30,46,14,39,2198500.0
